,project_id,foiv,7.1,7.1_other,14.2,14.3,14.4,7.2,7.2_other,7.1.6_total_once,7.1.6_total_regular,7.1.6_total_benefit_once,7.1.6_total_benefit_regular,9.5,9.6,9.7,2.1
102,97348,Минпромторг России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
103,93347,ФНС России,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
104,101316,Минтранс России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
105,102907,Минобрнауки России,actor_specific,no_info,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
106,102938,Минприроды России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
107,102938,Минприроды России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
108,97370,Минэнерго России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
109,97370,Минэнерго России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
110,101123,Минкомсвязь России,actor_specific,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
111,92861,Минсельхоз России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
112,45693,Минсельхоз России,actor_specific,mystery,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
113,100665,Минтранс России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
114,101327,Минтранс России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
115,101327,Минтранс России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
116,102790,Минздрав России,actor_general,mystery,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
117,96052,Минсельхоз России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
118,100691,ФНС России,foiv_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
119,100696,Минпромторг России,foiv_no_action,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
120,104236,Минпромторг России,actor_specific,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
121,97173,Минтруд России,mystery,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
122,100450,Роспотребнадзор,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
123,106077,Роспотребнадзор,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
124,106077,Роспотребнадзор,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
125,106077,Роспотребнадзор,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
126,98244,Минстрой России,foiv_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
127,102078,Минприроды России,cit_action,foiv_no_action,invalid,invalid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
128,99396,Минкультуры России,cit_action,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
129,99150,Минстрой России,cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
130,95597,Минкомсвязь России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
131,105601,ФНС России,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
132,100141,Минпромторг России,cit_no_action,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
133,98243,Минфин России,no_info,no_info,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
134,99391,Минпромторг России,actor_general,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
135,98627,Минсельхоз России,actor_general,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
136,106046,Минтранс России,cit_action,foiv_no_action,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
137,101435,Минстрой России,cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
138,81703,Минсельхоз России,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
139,66303,Минтранс России,cit_action,no_info,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
140,98843,ФСБ России,foiv_no_action,actor_specific,valid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
141,103168,Минтранс России,actor_specific,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
142,98828,Минфин России,cit_no_action,foiv_no_action,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
143,96946,Минэкономразвития России,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
144,102217,Минсельхоз России,mystery,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
145,101492,Минздрав России,actor_specific,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,invalid,высокая
146,101492,Минздрав России,actor_specific,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,invalid,высокая
147,101492,Минздрав России,actor_specific,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,invalid,высокая
148,101492,Минздрав России,actor_specific,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,invalid,высокая
149,98689,Минсельхоз России,cit_action,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
150,98689,Минсельхоз России,cit_action,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
151,98689,Минсельхоз России,cit_action,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
